step	learning_rate
0	0.0009933333333333333
1	0.0009866666666666667
2	0.00098
3	0.0009733333333333334
4	0.0009666666666666667
5	0.00096
6	0.0009533333333333334
7	0.0009466666666666667
8	0.00094
9	0.0009333333333333333
10	0.0009266666666666667
11	0.00092
12	0.0009133333333333334
13	0.0009066666666666666
14	0.0009000000000000001
15	0.0008933333333333333
16	0.0008866666666666667
17	0.00088
18	0.0008733333333333333
19	0.0008666666666666667
20	0.00086
21	0.0008533333333333334
22	0.0008466666666666667
23	0.00084
24	0.0008333333333333334
25	0.0008266666666666666
26	0.00082
27	0.0008133333333333333
28	0.0008066666666666667
29	0.0008
30	0.0007933333333333334
31	0.0007866666666666666
32	0.0007800000000000001
33	0.0007733333333333333
34	0.0007666666666666667
35	0.00076
36	0.0007533333333333333
37	0.0007466666666666667
38	0.00074
39	0.0007333333333333333
40	0.0007266666666666667
41	0.0007199999999999999
42	0.0007133333333333334
43	0.0007066666666666666
44	0.0007
45	0.0006933333333333333
46	0.0006866666666666667
47	0.00068
48	0.0006733333333333334
49	0.0006666666666666666
50	0.00066
51	0.0006533333333333333
52	0.0006466666666666666
53	0.00064
54	0.0006333333333333333
55	0.0006266666666666668
56	0.00062
57	0.0006133333333333334
58	0.0006066666666666667
59	0.0006
60	0.0005933333333333334
61	0.0005866666666666667
62	0.00058
63	0.0005733333333333334
64	0.0005666666666666667
65	0.0005600000000000001
66	0.0005533333333333333
67	0.0005466666666666667
68	0.00054
69	0.0005333333333333334
70	0.0005266666666666666
71	0.0005200000000000001
72	0.0005133333333333333
73	0.0005066666666666668
74	0.0005
75	0.0004933333333333334
76	0.0004866666666666667
77	0.00048
78	0.00047333333333333336
79	0.00046666666666666666
80	0.00046
81	0.0004533333333333333
82	0.00044666666666666666
83	0.00044
84	0.00043333333333333337
85	0.0004266666666666667
86	0.00042
87	0.0004133333333333333
88	0.00040666666666666667
89	0.0004
90	0.0003933333333333333
91	0.00038666666666666667
92	0.00038
93	0.0003733333333333334
94	0.00036666666666666667
95	0.00035999999999999997
96	0.0003533333333333333
97	0.00034666666666666667
98	0.00034
99	0.0003333333333333333
100	0.0003266666666666667
101	0.00032
102	0.0003133333333333334
103	0.0003066666666666667
104	0.0003
105	0.0002933333333333333
106	0.0002866666666666667
107	0.00028000000000000003
108	0.00027333333333333333
109	0.0002666666666666667
110	0.00026000000000000003
111	0.0002533333333333334
112	0.0002466666666666667
113	0.00024
114	0.00023333333333333333
115	0.00022666666666666666
116	0.00022
117	0.00021333333333333336
118	0.00020666666666666666
119	0.0002
120	0.00019333333333333333
121	0.0001866666666666667
122	0.00017999999999999998
123	0.00017333333333333334
124	0.00016666666666666666
125	0.00016
126	0.00015333333333333334
127	0.00014666666666666666
128	0.00014000000000000001
129	0.00013333333333333334
130	0.0001266666666666667
131	0.00012
132	0.00011333333333333333
133	0.00010666666666666668
134	0.0001
135	9.333333333333334e-05
136	8.666666666666667e-05
137	8e-05
138	7.333333333333333e-05
139	6.666666666666667e-05
140	6e-05
141	5.333333333333334e-05
142	4.666666666666667e-05
143	4e-05
144	3.3333333333333335e-05
145	2.666666666666667e-05
146	2e-05
147	1.3333333333333335e-05
148	6.6666666666666675e-06
149	0.0
